effectiveDate,closeValue
05/29/1896,40.63
06/30/1896,36.15
07/31/1896,32.02
08/31/1896,31.97
09/30/1896,36.05
10/31/1896,39.53
11/30/1896,41
12/31/1896,40.45
01/30/1897,42.56
02/27/1897,41.71
03/31/1897,39.47
04/30/1897,38.96
05/29/1897,39.91
06/30/1897,44.1
07/31/1897,47.88
08/31/1897,54.81
09/30/1897,50.98
10/30/1897,49.03
11/30/1897,47.46
12/31/1897,49.41
01/31/1898,50.01
02/28/1898,46.17
03/31/1898,45.42
04/30/1898,46
05/31/1898,52.74
06/30/1898,52.62
07/30/1898,54.2
08/31/1898,60.35
09/30/1898,53.44
10/31/1898,55.43
11/30/1898,57.2
12/30/1898,60.52
01/31/1899,64.35
02/28/1899,66.78
03/30/1899,74.33
04/29/1899,76.71
05/31/1899,67.51
06/30/1899,70.38
07/31/1899,73.73
08/31/1899,75.66
09/28/1899,72.87
10/31/1899,74.97
11/29/1899,75.55
12/30/1899,66.08
01/31/1900,66.13
02/28/1900,63.96
03/31/1900,66.02
04/30/1900,61.33
05/31/1900,59.1
06/30/1900,54.93
07/31/1900,56.8
08/31/1900,57.81
09/29/1900,54.27
10/31/1900,59.04
11/30/1900,66.59
12/31/1900,70.71
01/31/1901,66.81
02/28/1901,67
03/30/1901,69.92
04/30/1901,75.8
05/31/1901,75.77
06/29/1901,77.94
07/31/1901,71.63
08/30/1901,73.47
09/30/1901,66.66
10/31/1901,64.45
11/30/1901,65.01
12/31/1901,64.56
01/31/1902,64.95
02/28/1902,64.81
03/31/1902,67.19
04/30/1902,67.01
05/29/1902,66.42
06/30/1902,64.31
07/31/1902,65.82
08/29/1902,66.28
09/30/1902,66.15
10/31/1902,66.05
11/29/1902,62.05
12/31/1902,64.29
01/31/1903,65.18
02/28/1903,66.19
03/31/1903,63.64
04/30/1903,63.78
05/29/1903,60.27
06/30/1903,59.08
07/31/1903,50.76
08/31/1903,53.19
09/30/1903,45.8
10/31/1903,45.13
11/30/1903,44.33
12/31/1903,49.11
01/30/1904,48.91
02/29/1904,47.53
03/31/1904,49.12
04/30/1904,48.8
05/31/1904,48.18
06/30/1904,49.25
07/30/1904,52.13
08/31/1904,54.57
09/30/1904,57.59
10/31/1904,63.03
11/30/1904,72.02
12/31/1904,69.61
01/31/1905,71.33
02/28/1905,75.15
03/31/1905,80.02
04/29/1905,76.08
05/31/1905,74.32
06/30/1905,76.87
07/31/1905,81.7
08/31/1905,80.63
09/30/1905,81.9
10/31/1905,83.77
11/29/1905,89.89
12/30/1905,96.2
01/31/1906,100.69
