date,value
01/31/1973,999.02
02/28/1973,955.07
03/30/1973,951.01
04/30/1973,921.43
05/31/1973,901.41
06/29/1973,891.71
07/31/1973,926.4
08/31/1973,887.57
09/28/1973,947.1
10/31/1973,956.58
11/30/1973,822.25
12/31/1973,850.86
01/31/1974,855.55
02/28/1974,860.53
03/29/1974,846.68
04/30/1974,836.75
05/31/1974,802.17
06/28/1974,802.41
07/31/1974,757.43
08/30/1974,678.58
09/30/1974,607.87
10/31/1974,665.52
11/29/1974,618.66
12/31/1974,616.24
01/31/1975,703.69
02/28/1975,739.05
03/31/1975,768.15
04/30/1975,821.34
05/30/1975,832.29
06/30/1975,878.99
07/31/1975,831.51
08/29/1975,835.34
09/30/1975,793.88
10/31/1975,836.04
11/28/1975,860.67
12/31/1975,852.41
